	RS.v 	RS.u	RS.I	CH.v	CH.u	CH.I	IB.v	IB.u	IB.I	FS.v	FS.u	FS.I	LTS.v	LTS.u	LTS.I
1162	-71.644	-13.9194	-1.37185	-66.4148	-13.8895	4.91888	-79.787	-9.7506	-4.31192	-70.3158	-13.3707	0.0815169	-99.8463	37.9957	-0.304259
1163	-65.4493	-13.9276	11.3754	-67.7885	-13.8774	-0.999963	-72.6016	-9.87474	8.91646	-72.3865	-13.3483	-3.70569	-99.4821	38.3028	-0.815588
1164	-66.9499	-13.9276	-1.02662	-63.0989	-13.8774	10.6331	-73.7176	-9.87474	0.0616059	-71.6681	-13.3483	0.428723	-98.6935	38.3028	1.4231
1165	-65.864	-13.9168	3.70226	-63.1397	-13.8522	2.27669	-75.5848	-9.97211	-2.39251	-70.8575	-13.3535	1.16065	-99.0423	38.61	1.4564
1166	-66.9526	-13.9168	-0.296687	-64.7235	-13.8522	-0.786224	-75.7334	-9.97211	-0.867878	-72.4372	-13.3535	-3.0567	-99.3397	38.61	0.851575
1167	-60.3772	-13.9063	14.691	-66.644	-13.8341	-1.64097	-72.9789	-10.0756	4.78209	-70.0139	-13.3725	3.79317	-99.6729	38.9195	-0.0929343
1168	-58.451	-13.9063	6.01569	-71.6172	-13.8341	-8.21724	-70.7753	-10.0756	6.18929	-70.138	-13.3725	0.370889	-99.5753	38.9195	0.0917563
1169	-60.5342	-13.862	-2.47832	-68.5218	-13.8438	5.28185	-68.454	-10.1572	8.07769	-70.5392	-13.3467	-0.258436	-99.5923	39.2307	0.152292
1170	-64.7205	-13.862	-6.13917	-69.5742	-13.8438	-1.14908	-70.1297	-10.1572	1.32349	-69.3188	-13.3467	2.75889	-99.5095	39.2307	0.612708
1171	-63.7234	-13.8436	4.18489	-77.6457	-13.8453	-15.7388	-72.2041	-10.2346	-0.384438	-70.2553	-13.3081	-0.829426	-99.4518	39.5434	0.808003
1172	-70.1675	-13.8436	-10.5416	-72.9917	-13.8453	2.53702	-73.218	-10.2346	0.220847	-72.36	-13.3081	-3.67319	-99.6972	39.5434	0.685181
1173	-70.3887	-13.8474	-0.387689	-71.6051	-13.8603	0.774937	-74.7789	-10.3227	-1.70142	-71.4991	-13.3302	0.774907	-100.076	39.8579	-0.309755
1174	-70.0484	-13.8474	0.593924	-70.5788	-13.8603	1.12611	-75.61	-10.3227	-1.76586	-70.4043	-13.3302	1.87007	-98.2567	39.8579	3.26809
1175	-70.4993	-13.8507	-0.778261	-71.6578	-13.8654	-2.37895	-75.6374	-10.4187	-1.0025	-71.0498	-13.3135	-0.87032	-100.824	40.1721	-0.169189
1176	-68.3208	-13.8507	4.19672	-74.9872	-13.8654	-7.62881	-71.2461	-10.4187	7.71017	-70.0149	-13.3135	2.08229	-99.227	40.1721	0.866542
1177	-63.7546	-13.8469	10.1765	-73.8532	-13.8881	-1.58476	-74.2786	-10.4953	-3.29344	-71.7603	-13.2913	-2.81328	-100.695	40.4891	-0.468504
1178	-65.7257	-13.8469	-1.60199	-78.4279	-13.8881	-11.9431	-72.5251	-10.4953	3.71233	-73.4606	-13.2913	-3.87195	-101.483	40.4891	-3.19208
1179	-63.0194	-13.8329	7.39935	-73.3858	-13.924	2.29817	-73.4516	-10.5755	-0.11858	-73.7419	-13.3357	-2.40932	-100.212	40.8103	-1.50661
1180	-63.9513	-13.8329	0.542667	-74.201	-13.924	-4.04437	-76.6054	-10.5755	-5.43067	-72.3943	-13.3357	0.554403	-100.321	40.8103	-0.04481
1181	-66.4142	-13.812	-2.593	-75.3752	-13.9423	-5.49901	-74.7345	-10.6704	1.45772	-72.5453	-13.3557	-1.30348	-99.7515	41.1317	0.982479
